Data,Label
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0.01,Notstressed
0.01,Notstressed
0,Notstressed
-0.03,Notstressed
-0.05,Notstressed
-0.05,Notstressed
0,Notstressed
0.13,Notstressed
0.36,Notstressed
0.66,Notstressed
1.01,Notstressed
1.37,Notstressed
1.72,Notstressed
2.06,Notstressed
2.4,Notstressed
2.79,Notstressed
3.24,Notstressed
3.8,Notstressed
4.42,Notstressed
5.06,Notstressed
5.66,Notstressed
6.2,Notstressed
6.68,Notstressed
7.15,Notstressed
7.68,Notstressed
8.31,Notstressed
9.14,Notstressed
10.09,Notstressed
11.04,Notstressed
11.88,Notstressed
12.56,Notstressed
13.14,Notstressed
13.76,Notstressed
14.65,Notstressed
15.96,Notstressed
17.91,Notstressed
20.32,Notstressed
22.9,Notstressed
25.38,Notstressed
27.58,Notstressed
29.57,Notstressed
31.68,Notstressed
34.32,Notstressed
37.81,Notstressed
42.54,Notstressed
48.15,Notstressed
54.1,Notstressed
59.83,Notstressed
64.97,Notstressed
69.58,Notstressed
74.14,Notstressed
79.35,Notstressed
85.71,Notstressed
93.76,Notstressed
103,Notstressed
112.62,Notstressed
121.73,Notstressed
129.76,Notstressed
136.74,Notstressed
143.3,Notstressed
150.76,Notstressed
157.81,Notstressed
166.69,Notstressed
177.98,Notstressed
191.78,Notstressed
206.86,Notstressed
220.34,Notstressed
227.9,Notstressed
224.92,Notstressed
208.04,Notstressed
176.37,Notstressed
132.27,Notstressed
79.56,Notstressed
22.54,Notstressed
-35.56,Notstressed
-93.17,Notstressed
-150.01,Notstressed
-206.15,Notstressed
-261.31,Notstressed
-314.64,Notstressed
-364.72,Notstressed
-410.68,Notstressed
-451.85,Notstressed
-487.67,Notstressed
-517.2,Notstressed
-538.98,Notstressed
-551.17,Notstressed
-551.96,Notstressed
-540.29,Notstressed
-516.03,Notstressed
-480.55,Notstressed
-436.07,Notstressed
-385.26,Notstressed
-330.64,Notstressed
-274.26,Notstressed
-217.6,Notstressed
-161.81,Notstressed
-107.96,Notstressed
-57.16,Notstressed
-10.74,Notstressed
30.16,Notstressed
64.82,Notstressed
93.14,Notstressed
115.68,Notstressed
133.4,Notstressed
147.24,Notstressed
157.85,Notstressed
165.42,Notstressed
169.77,Notstressed
170.72,Notstressed
168.37,Notstressed
163.32,Notstressed
156.56,Notstressed
149.1,Notstressed
141.72,Notstressed
134.67,Notstressed
127.73,Notstressed
120.43,Notstressed
112.33,Notstressed
103.1,Notstressed
92.57,Notstressed
80.79,Notstressed
68.32,Notstressed
56.54,Notstressed
47.54,Notstressed
43.57,Notstressed
45.99,Notstressed
54.45,Notstressed
66.68,Notstressed
79.24,Notstressed
88.85,Notstressed
93.62,Notstressed
93.54,Notstressed
89.94,Notstressed
84.7,Notstressed
78.9,Notstressed
72.77,Notstressed
66.11,Notstressed
58.81,Notstressed
51.24,Notstressed
44.08,Notstressed
37.95,Notstressed
33.11,Notstressed
29.3,Notstressed
26.01,Notstressed
22.73,Notstressed
19.34,Notstressed
16.15,Notstressed
13.79,Notstressed
12.92,Notstressed
13.88,Notstressed
16.46,Notstressed
19.87,Notstressed
22.94,Notstressed
24.59,Notstressed
24.2,Notstressed
21.8,Notstressed
18.04,Notstressed
13.82,Notstressed
9.9,Notstressed
6.64,Notstressed
3.93,Notstressed
1.4,Notstressed
-1.22,Notstressed
-3.88,Notstressed
-6.09,Notstressed
-7.17,Notstressed
-6.62,Notstressed
-4.49,Notstressed
-1.49,Notstressed
1.31,Notstressed
2.87,Notstressed
2.68,Notstressed
0.95,Notstressed
-1.53,Notstressed
-3.87,Notstressed
-5.48,Notstressed
-6.29,Notstressed
-6.64,Notstressed
-6.97,Notstressed
-7.58,Notstressed
-8.41,Notstressed
-9.23,Notstressed
-9.77,Notstressed
-9.88,Notstressed
-9.61,Notstressed
-9.08,Notstressed
-8.45,Notstressed
-7.87,Notstressed
-7.36,Notstressed
-6.95,Notstressed
-6.68,Notstressed
-6.6,Notstressed
-6.75,Notstressed
-7.02,Notstressed
-7.09,Notstressed
-6.46,Notstressed
-4.67,Notstressed
-1.51,Notstressed
2.76,Notstressed
7.45,Notstressed
11.63,Notstressed
14.46,Notstressed
15.5,Notstressed
14.82,Notstressed
12.85,Notstressed
10.19,Notstressed
7.4,Notstressed
4.85,Notstressed
2.74,Notstressed
1.19,Notstressed
0.29,Notstressed
0.05,Notstressed
0.48,Notstressed
1.57,Notstressed
3.18,Notstressed
5.13,Notstressed
7.1,Notstressed
8.77,Notstressed
9.9,Notstressed
10.37,Notstressed
10.25,Notstressed
9.72,Notstressed
8.93,Notstressed
7.96,Notstressed
6.72,Notstressed
5.06,Notstressed
2.78,Notstressed
-0.15,Notstressed
-3.5,Notstressed
-6.89,Notstressed
-9.9,Notstressed
-12.2,Notstressed
-13.69,Notstressed
-14.47,Notstressed
-14.8,Notstressed
-14.91,Notstressed
-14.99,Notstressed
-15.15,Notstressed
-15.44,Notstressed
-15.84,Notstressed
-16.21,Notstressed
-16.25,Notstressed
-15.49,Notstressed
-13.44,Notstressed
-9.87,Notstressed
-5,Notstressed
0.38,Notstressed
5.2,Notstressed
8.47,Notstressed
9.63,Notstressed
8.79,Notstressed
6.56,Notstressed
3.75,Notstressed
1.03,Notstressed
-1.32,Notstressed
-3.33,Notstressed
-5.14,Notstressed
-6.77,Notstressed
-8.04,Notstressed
-8.61,Notstressed
-8.27,Notstressed
-7.03,Notstressed
-5.2,Notstressed
-3.3,Notstressed
-1.79,Notstressed
-0.92,Notstressed
-0.66,Notstressed
-0.76,Notstressed
-0.98,Notstressed
-1.19,Notstressed
-1.48,Notstressed
-2.02,Notstressed
-3.03,Notstressed
-4.58,Notstressed
-6.58,Notstressed
-8.75,Notstressed
-10.77,Notstressed
-12.34,Notstressed
-13.34,Notstressed
-13.78,Notstressed
-13.86,Notstressed
-13.97,Notstressed
-14.5,Notstressed
-15.75,Notstressed
-17.81,Notstressed
-20.46,Notstressed
-23.2,Notstressed
-25.22,Notstressed
-25.72,Notstressed
-23.66,Notstressed
-18.61,Notstressed
-10.79,Notstressed
-1.1,Notstressed
9.08,Notstressed
18.35,Notstressed
25.6,Notstressed
30.29,Notstressed
32.44,Notstressed
32.47,Notstressed
30.85,Notstressed
28.03,Notstressed
24.36,Notstressed
20.13,Notstressed
15.68,Notstressed
11.37,Notstressed
7.6,Notstressed
4.65,Notstressed
2.65,Notstressed
1.42,Notstressed
0.67,Notstressed
0.09,Notstressed
-0.53,Notstressed
-1.24,Notstressed
-1.99,Notstressed
-2.8,Notstressed
-3.82,Notstressed
-5.36,Notstressed
-7.78,Notstressed
-11.3,Notstressed
-15.85,Notstressed
-21.12,Notstressed
-26.65,Notstressed
-32.02,Notstressed
-37.04,Notstressed
-41.67,Notstressed
-46.11,Notstressed
-50.6,Notstressed
-55.41,Notstressed
-60.75,Notstressed
-66.62,Notstressed
-72.75,Notstressed
-78.4,Notstressed
-82.38,Notstressed
-83.31,Notstressed
-79.93,Notstressed
-71.58,Notstressed
-58.41,Notstressed
-41.3,Notstressed
-21.64,Notstressed
-0.94,Notstressed
19.34,Notstressed
37.92,Notstressed
53.68,Notstressed
65.76,Notstressed
73.79,Notstressed
78,Notstressed
79.16,Notstressed
78.37,Notstressed
76.72,Notstressed
75.03,Notstressed
73.77,Notstressed
73.1,Notstressed
72.99,Notstressed
73.2,Notstressed
73.36,Notstressed
72.98,Notstressed
71.65,Notstressed
69.24,Notstressed
66.02,Notstressed
62.55,Notstressed
59.29,Notstressed
56.31,Notstressed
53.04,Notstressed
48.4,Notstressed
41.21,Notstressed
30.47,Notstressed
15.78,Notstressed
-2.6,Notstressed
-23.74,Notstressed
-46.11,Notstressed
-67.87,Notstressed
-87.21,Notstressed
-102.72,Notstressed
-113.75,Notstressed
-120.41,Notstressed
-123.43,Notstressed
-123.57,Notstressed
-121.29,Notstressed
-116.53,Notstressed
-108.98,Notstressed
-98.44,Notstressed
-85.23,Notstressed
-70.23,Notstressed
-54.6,Notstressed
-39.47,Notstressed
-25.64,Notstressed
-13.54,Notstressed
-3.32,Notstressed
4.9,Notstressed
11.05,Notstressed
15.06,Notstressed
16.99,Notstressed
17.04,Notstressed
15.57,Notstressed
13.11,Notstressed
10.28,Notstressed
7.71,Notstressed
5.86,Notstressed
4.84,Notstressed
4.46,Notstressed
4.32,Notstressed
4.14,Notstressed
4.01,Notstressed
4.31,Notstressed
5.55,Notstressed
7.92,Notstressed
11.05,Notstressed
14.06,Notstressed
15.96,Notstressed
16.09,Notstressed
14.46,Notstressed
11.66,Notstressed
8.54,Notstressed
5.66,Notstressed
3.07,Notstressed
0.32,Notstressed
-3.2,Notstressed
-7.88,Notstressed
-13.72,Notstressed
-20.34,Notstressed
-27.3,Notstressed
-34.09,Notstressed
-40.15,Notstressed
-44.65,Notstressed
-46.51,Notstressed
-44.68,Notstressed
-38.63,Notstressed
-28.93,Notstressed
-17.21,Notstressed
-5.62,Notstressed
3.99,Notstressed
10.84,Notstressed
15.4,Notstressed
18.79,Notstressed
22.11,Notstressed
25.75,Notstressed
29.37,Notstressed
32.33,Notstressed
34.22,Notstressed
35.13,Notstressed
35.61,Notstressed
36.21,Notstressed
37.19,Notstressed
38.43,Notstressed
39.66,Notstressed
40.7,Notstressed
41.53,Notstressed
42.25,Notstressed
42.81,Notstressed
42.98,Notstressed
42.43,Notstressed
40.94,Notstressed
38.58,Notstressed
35.68,Notstressed
32.65,Notstressed
29.75,Notstressed
27.04,Notstressed
24.35,Notstressed
21.51,Notstressed
18.42,Notstressed
15.08,Notstressed
11.48,Notstressed
7.53,Notstressed
3.08,Notstressed
-1.82,Notstressed
-6.79,Notstressed
-11.02,Notstressed
-13.48,Notstressed
-13.28,Notstressed
-10.1,Notstressed
-4.38,Notstressed
2.81,Notstressed
10.13,Notstressed
16.46,Notstressed
21.2,Notstressed
24.35,Notstressed
26.22,Notstressed
27.17,Notstressed
27.4,Notstressed
26.9,Notstressed
25.64,Notstressed
23.72,Notstressed
21.45,Notstressed
19.21,Notstressed
17.35,Notstressed
15.98,Notstressed
15.01,Notstressed
14.27,Notstressed
13.62,Notstressed
13.05,Notstressed
12.61,Notstressed
12.36,Notstressed
12.21,Notstressed
11.96,Notstressed
11.35,Notstressed
10.18,Notstressed
8.35,Notstressed
5.92,Notstressed
3,Notstressed
-0.2,Notstressed
-3.5,Notstressed
-6.75,Notstressed
-9.88,Notstressed
-12.94,Notstressed
-16.08,Notstressed
-19.52,Notstressed
-23.41,Notstressed
-27.74,Notstressed
-32.23,Notstressed
-36.36,Notstressed
-39.45,Notstressed
-40.81,Notstressed
-39.91,Notstressed
-36.57,Notstressed
-31.01,Notstressed
-23.79,Notstressed
-15.75,Notstressed
-7.75,Notstressed
-0.47,Notstressed
5.71,Notstressed
10.74,Notstressed
14.81,Notstressed
18.14,Notstressed
20.86,Notstressed
22.98,Notstressed
24.41,Notstressed
25.18,Notstressed
25.44,Notstressed
25.49,Notstressed
25.62,Notstressed
26.01,Notstressed
26.66,Notstressed
27.4,Notstressed
28.04,Notstressed
28.5,Notstressed
28.82,Notstressed
29.14,Notstressed
29.53,Notstressed
29.93,Notstressed
30.12,Notstressed
29.77,Notstressed
28.6,Notstressed
26.49,Notstressed
23.49,Notstressed
19.84,Notstressed
15.87,Notstressed
11.88,Notstressed
8.07,Notstressed
4.5,Notstressed
1.14,Notstressed
-2.14,Notstressed
-5.44,Notstressed
-8.85,Notstressed
-12.44,Notstressed
-16.22,Notstressed
-20.06,Notstressed
-23.65,Notstressed
-26.47,Notstressed
-27.87,Notstressed
-27.34,Notstressed
-24.67,Notstressed
-20.14,Notstressed
-14.39,Notstressed
-8.3,Notstressed
-2.62,Notstressed
2.17,Notstressed
5.94,Notstressed
8.84,Notstressed
11.06,Notstressed
12.78,Notstressed
14.14,Notstressed
15.22,Notstressed
16.07,Notstressed
16.69,Notstressed
17.09,Notstressed
17.34,Notstressed
17.54,Notstressed
17.79,Notstressed
18.18,Notstressed
18.85,Notstressed
19.81,Notstressed
20.91,Notstressed
21.87,Notstressed
22.35,Notstressed
22.11,Notstressed
21.05,Notstressed
19.17,Notstressed
16.6,Notstressed
13.67,Notstressed
10.68,Notstressed
7.73,Notstressed
4.73,Notstressed
1.5,Notstressed
-2.04,Notstressed
-5.82,Notstressed
-9.62,Notstressed
-13.19,Notstressed
-15.69,Notstressed
-16.63,Notstressed
-16.11,Notstressed
-14.91,Notstressed
-14,Notstressed
-14.07,Notstressed
-15.29,Notstressed
-17.32,Notstressed
-19.52,Notstressed
-19.89,Notstressed
-16.83,Notstressed
-9.85,Notstressed
0.22,Notstressed
11.85,Notstressed
23.59,Notstressed
34.44,Notstressed
43.83,Notstressed
51.5,Notstressed
59.36,Notstressed
68.91,Notstressed
80.33,Notstressed
92.34,Notstressed
103.23,Notstressed
111.95,Notstressed
118.36,Notstressed
122.93,Notstressed
126.31,Notstressed
131.54,Notstressed
140.84,Notstressed
154.47,Notstressed
170.61,Notstressed
186.76,Notstressed
201.08,Notstressed
212.83,Notstressed
222.1,Notstressed
213.78,Notstressed
179.56,Notstressed
121.56,Notstressed
52.19,Notstressed
-14.46,Notstressed
-70.19,Notstressed
-113.27,Notstressed
-145.58,Notstressed
-169.85,Notstressed
-188.52,Notstressed
-200.89,Notstressed
-206.27,Notstressed
-205.73,Notstressed
-201.54,Notstressed
-196.08,Notstressed
-190.82,Notstressed
-186.45,Notstressed
-183.1,Notstressed
-180.84,Notstressed
-177.83,Notstressed
-172.61,Notstressed
-164.84,Notstressed
-155.47,Notstressed
-146,Notstressed
-136.34,Notstressed
-126.66,Notstressed
-117.09,Notstressed
-107.95,Notstressed
-98.45,Notstressed
-88.08,Notstressed
-77.01,Notstressed
-66.11,Notstressed
-56.36,Notstressed
-48.3,Notstressed
-42.11,Notstressed
-37.56,Notstressed
-34.33,Notstressed
-31.55,Notstressed
-28.54,Notstressed
-25.05,Notstressed
-21.25,Notstressed
-17.54,Notstressed
-14.2,Notstressed
-11.42,Notstressed
-9.06,Notstressed
-6.71,Notstressed
-3.45,Notstressed
1.64,Notstressed
9.19,Notstressed
19.21,Notstressed
31.02,Notstressed
43.45,Notstressed
55.12,Notstressed
64.8,Notstressed
71.71,Notstressed
75.52,Notstressed
76.2,Notstressed
73.92,Notstressed
68.99,Notstressed
61.89,Notstressed
53.42,Notstressed
44.61,Notstressed
36.67,Notstressed
30.49,Notstressed
26.33,Notstressed
23.68,Notstressed
21.52,Notstressed
18.87,Notstressed
15.38,Notstressed
11.54,Notstressed
8.48,Notstressed
7.36,Notstressed
8.77,Notstressed
12.41,Notstressed
17.13,Notstressed
21.44,Notstressed
24.14,Notstressed
24.76,Notstressed
23.62,Notstressed
21.63,Notstressed
19.71,Notstressed
18.43,Notstressed
17.8,Notstressed
17.38,Notstressed
16.55,Notstressed
14.86,Notstressed
12.23,Notstressed
9.01,Notstressed
5.92,Notstressed
3.83,Notstressed
3.56,Notstressed
5.6,Notstressed
9.98,Notstressed
16.11,Notstressed
22.94,Notstressed
29.22,Notstressed
33.84,Notstressed
36.17,Notstressed
36.12,Notstressed
34.01,Notstressed
30.3,Notstressed
25.4,Notstressed
19.61,Notstressed
13.21,Notstressed
6.58,Notstressed
0.16,Notstressed
-5.62,Notstressed
-10.5,Notstressed
-14.53,Notstressed
-17.94,Notstressed
-21.1,Notstressed
-24.37,Notstressed
-27.96,Notstressed
-31.85,Notstressed
-35.75,Notstressed
-39.09,Notstressed
-41.13,Notstressed
-41.19,Notstressed
-38.87,Notstressed
-34.21,Notstressed
-27.77,Notstressed
-20.39,Notstressed
-12.98,Notstressed
-6.22,Notstressed
-0.52,Notstressed
4.05,Notstressed
7.52,Notstressed
9.97,Notstressed
11.44,Notstressed
11.93,Notstressed
11.51,Notstressed
10.36,Notstressed
8.81,Notstressed
7.28,Notstressed
6.17,Notstressed
5.74,Notstressed
6.04,Notstressed
6.94,Notstressed
8.14,Notstressed
9.39,Notstressed
10.49,Notstressed
11.42,Notstressed
12.22,Notstressed
12.95,Notstressed
13.57,Notstressed
13.92,Notstressed
13.75,Notstressed
12.81,Notstressed
10.95,Notstressed
8.21,Notstressed
4.81,Notstressed
1.11,Notstressed
-2.54,Notstressed
-5.91,Notstressed
-8.99,Notstressed
-11.94,Notstressed
-15.09,Notstressed
-18.76,Notstressed
-23.15,Notstressed
-28.26,Notstressed
-33.69,Notstressed
-38.69,Notstressed
-42.23,Notstressed
-43.27,Notstressed
-41.1,Notstressed
-35.68,Notstressed
-27.65,Notstressed
-18.21,Notstressed
-8.65,Notstressed
-0.05,Notstressed
7.03,Notstressed
12.43,Notstressed
16.24,Notstressed
18.53,Notstressed
19.33,Notstressed
18.67,Notstressed
16.8,Notstressed
14.17,Notstressed
11.42,Notstressed
9.1,Notstressed
7.5,Notstressed
6.61,Notstressed
6.21,Notstressed
6.04,Notstressed
5.98,Notstressed
6.05,Notstressed
6.3,Notstressed
6.77,Notstressed
7.3,Notstressed
7.62,Notstressed
7.41,Notstressed
6.43,Notstressed
4.58,Notstressed
1.97,Notstressed
-1.13,Notstressed
-4.41,Notstressed
-7.57,Notstressed
-10.4,Notstressed
-12.88,Notstressed
-15.14,Notstressed
-17.52,Notstressed
-20.39,Notstressed
-24.08,Notstressed
-28.63,Notstressed
-33.67,Notstressed
-38.34,Notstressed
-41.48,Notstressed
-41.92,Notstressed
-38.93,Notstressed
-32.48,Notstressed
-23.26,Notstressed
-12.55,Notstressed
-1.74,Notstressed
7.99,Notstressed
15.87,Notstressed
21.63,Notstressed
25.31,Notstressed
27.12,Notstressed
27.37,Notstressed
26.38,Notstressed
24.49,Notstressed
22.05,Notstressed
19.41,Notstressed
16.84,Notstressed
14.58,Notstressed
12.76,Notstressed
11.41,Notstressed
10.53,Notstressed
10.06,Notstressed
9.93,Notstressed
10.08,Notstressed
10.43,Notstressed
10.81,Notstressed
10.96,Notstressed
10.55,Notstressed
9.26,Notstressed
6.93,Notstressed
3.63,Notstressed
-0.36,Notstressed
-4.62,Notstressed
-8.74,Notstressed
-12.46,Notstressed
-15.73,Notstressed
-18.74,Notstressed
-21.82,Notstressed
-25.35,Notstressed
-29.54,Notstressed
-34.32,Notstressed
-39.16,Notstressed
-43.09,Notstressed
-44.96,Notstressed
-43.74,Notstressed
-38.94,Notstressed
-30.83,Notstressed
-20.37,Notstressed
-8.97,Notstressed
1.96,Notstressed
11.32,Notstressed
18.5,Notstressed
23.35,Notstressed
26.06,Notstressed
26.97,Notstressed
26.52,Notstressed
25.18,Notstressed
23.38,Notstressed
21.49,Notstressed
19.78,Notstressed
18.33,Notstressed
17.13,Notstressed
16.1,Notstressed
15.17,Notstressed
14.37,Notstressed
13.73,Notstressed
13.32,Notstressed
13.16,Notstressed
13.15,Notstressed
13.09,Notstressed
12.74,Notstressed
11.82,Notstressed
10.14,Notstressed
7.67,Notstressed
4.55,Notstressed
1.05,Notstressed
-2.49,Notstressed
-5.84,Notstressed
-8.95,Notstressed
-12.02,Notstressed
-15.4,Notstressed
-19.45,Notstressed
-24.3,Notstressed
-29.66,Notstressed
