Data,Label
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0.01,Notstressed
0.01,Notstressed
0,Notstressed
-0.03,Notstressed
-0.05,Notstressed
-0.05,Notstressed
0,Notstressed
0.13,Notstressed
0.36,Notstressed
0.66,Notstressed
1.01,Notstressed
1.37,Notstressed
1.72,Notstressed
2.06,Notstressed
2.4,Notstressed
2.79,Notstressed
3.24,Notstressed
3.8,Notstressed
4.42,Notstressed
5.06,Notstressed
5.66,Notstressed
6.2,Notstressed
6.68,Notstressed
7.15,Notstressed
7.68,Notstressed
8.31,Notstressed
9.14,Notstressed
10.09,Notstressed
11.04,Notstressed
11.88,Notstressed
12.56,Notstressed
13.14,Notstressed
13.76,Notstressed
14.65,Notstressed
15.96,Notstressed
17.91,Notstressed
20.32,Notstressed
22.9,Notstressed
25.38,Notstressed
27.58,Notstressed
29.57,Notstressed
31.68,Notstressed
34.32,Notstressed
37.81,Notstressed
42.54,Notstressed
48.15,Notstressed
54.1,Notstressed
59.83,Notstressed
64.97,Notstressed
69.58,Notstressed
74.14,Notstressed
79.34,Notstressed
85.71,Notstressed
93.76,Notstressed
103,Notstressed
112.62,Notstressed
121.73,Notstressed
129.77,Notstressed
136.75,Notstressed
143.3,Notstressed
150.75,Notstressed
157.77,Notstressed
166.64,Notstressed
177.95,Notstressed
191.79,Notstressed
206.97,Notstressed
220.57,Notstressed
228.25,Notstressed
225.36,Notstressed
208.53,Notstressed
176.87,Notstressed
132.76,Notstressed
80.05,Notstressed
23.07,Notstressed
-34.94,Notstressed
-92.44,Notstressed
-149.16,Notstressed
-205.23,Notstressed
-260.37,Notstressed
-313.74,Notstressed
-363.87,Notstressed
-409.83,Notstressed
-450.89,Notstressed
-486.47,Notstressed
-515.69,Notstressed
-537.15,Notstressed
-549.12,Notstressed
-549.82,Notstressed
-538.18,Notstressed
-513.97,Notstressed
-478.39,Notstressed
-433.54,Notstressed
-382.05,Notstressed
-326.55,Notstressed
-269.31,Notstressed
-212.03,Notstressed
-155.99,Notstressed
-102.21,Notstressed
-51.55,Notstressed
-5,Notstressed
36.57,Notstressed
72.5,Notstressed
102.52,Notstressed
126.78,Notstressed
145.77,Notstressed
160.21,Notstressed
170.81,Notstressed
178.19,Notstressed
182.74,Notstressed
184.76,Notstressed
184.48,Notstressed
182.16,Notstressed
178.16,Notstressed
172.89,Notstressed
166.75,Notstressed
160.09,Notstressed
153.16,Notstressed
146.1,Notstressed
138.99,Notstressed
131.87,Notstressed
124.77,Notstressed
117.77,Notstressed
110.94,Notstressed
104.34,Notstressed
98.02,Notstressed
92.03,Notstressed
86.38,Notstressed
81.07,Notstressed
76.13,Notstressed
71.55,Notstressed
67.34,Notstressed
63.52,Notstressed
60.08,Notstressed
57.03,Notstressed
54.37,Notstressed
52.1,Notstressed
50.21,Notstressed
48.69,Notstressed
47.52,Notstressed
46.65,Notstressed
46,Notstressed
45.47,Notstressed
44.92,Notstressed
44.18,Notstressed
43.06,Notstressed
41.4,Notstressed
39.04,Notstressed
35.88,Notstressed
31.88,Notstressed
27.08,Notstressed
21.53,Notstressed
15.41,Notstressed
8.94,Notstressed
2.39,Notstressed
-3.96,Notstressed
-9.86,Notstressed
-15.07,Notstressed
-19.41,Notstressed
-22.77,Notstressed
-25.11,Notstressed
-26.44,Notstressed
-26.85,Notstressed
-26.47,Notstressed
-25.42,Notstressed
-23.86,Notstressed
-21.93,Notstressed
-19.75,Notstressed
-17.42,Notstressed
-14.99,Notstressed
-12.49,Notstressed
-9.95,Notstressed
-7.4,Notstressed
-4.85,Notstressed
-2.29,Notstressed
0.29,Notstressed
2.89,Notstressed
5.54,Notstressed
8.26,Notstressed
11.07,Notstressed
13.94,Notstressed
16.85,Notstressed
19.81,Notstressed
22.82,Notstressed
25.89,Notstressed
29.06,Notstressed
32.36,Notstressed
35.82,Notstressed
39.52,Notstressed
43.38,Notstressed
47.36,Notstressed
51.44,Notstressed
55.63,Notstressed
59.93,Notstressed
64.36,Notstressed
68.97,Notstressed
73.81,Notstressed
78.97,Notstressed
84.3,Notstressed
89.71,Notstressed
95.17,Notstressed
100.63,Notstressed
106.11,Notstressed
111.61,Notstressed
117.17,Notstressed
122.82,Notstressed
128.65,Notstressed
134.37,Notstressed
139.79,Notstressed
144.68,Notstressed
148.82,Notstressed
151.89,Notstressed
153.51,Notstressed
153.17,Notstressed
150.15,Notstressed
145.72,Notstressed
140.35,Notstressed
134.29,Notstressed
127.77,Notstressed
120.91,Notstressed
113.84,Notstressed
106.69,Notstressed
99.57,Notstressed
92.64,Notstressed
86.07,Notstressed
79.75,Notstressed
73.61,Notstressed
67.65,Notstressed
61.89,Notstressed
56.37,Notstressed
51.13,Notstressed
46.22,Notstressed
41.72,Notstressed
37.72,Notstressed
34.06,Notstressed
30.64,Notstressed
27.42,Notstressed
24.36,Notstressed
21.43,Notstressed
18.64,Notstressed
16.02,Notstressed
13.62,Notstressed
11.5,Notstressed
9.6,Notstressed
7.89,Notstressed
6.36,Notstressed
5.04,Notstressed
3.89,Notstressed
2.93,Notstressed
2.16,Notstressed
1.55,Notstressed
1.12,Notstressed
0.79,Notstressed
0.53,Notstressed
0.27,Notstressed
-0.01,Notstressed
-0.34,Notstressed
-0.77,Notstressed
-1.31,Notstressed
-1.94,Notstressed
-2.62,Notstressed
-3.34,Notstressed
-4.04,Notstressed
-4.71,Notstressed
-5.35,Notstressed
-5.97,Notstressed
-6.61,Notstressed
-7.3,Notstressed
-8.03,Notstressed
-8.79,Notstressed
-9.54,Notstressed
-10.22,Notstressed
-10.83,Notstressed
-11.38,Notstressed
-11.93,Notstressed
-12.58,Notstressed
-13.39,Notstressed
-14.4,Notstressed
-15.55,Notstressed
-16.76,Notstressed
-17.92,Notstressed
-18.98,Notstressed
-19.99,Notstressed
-21.09,Notstressed
-22.5,Notstressed
-24.33,Notstressed
-26.62,Notstressed
-29.22,Notstressed
-31.86,Notstressed
-34.28,Notstressed
-36.4,Notstressed
-38.36,Notstressed
-40.53,Notstressed
-43.39,Notstressed
-47.32,Notstressed
-52.42,Notstressed
-58.47,Notstressed
-64.99,Notstressed
-71.46,Notstressed
-77.61,Notstressed
-83.57,Notstressed
-89.84,Notstressed
-97.07,Notstressed
-105.76,Notstressed
-116.05,Notstressed
-127.5,Notstressed
-139.45,Notstressed
-151.18,Notstressed
-162.29,Notstressed
-172.84,Notstressed
-183.3,Notstressed
-194.42,Notstressed
-207.1,Notstressed
-222.3,Notstressed
-240.81,Notstressed
-262.7,Notstressed
-286.81,Notstressed
-310.44,Notstressed
-329.7,Notstressed
-340.65,Notstressed
-340.66,Notstressed
-329.43,Notstressed
-309.1,Notstressed
-283.23,Notstressed
-255.55,Notstressed
-228.77,Notstressed
-204.25,Notstressed
-182.35,Notstressed
-163.11,Notstressed
-146.62,Notstressed
-133.09,Notstressed
-122.41,Notstressed
-114.04,Notstressed
-107.04,Notstressed
-100.46,Notstressed
-93.75,Notstressed
-86.97,Notstressed
-80.59,Notstressed
-75.33,Notstressed
-71.65,Notstressed
-69.59,Notstressed
-68.68,Notstressed
-68.12,Notstressed
-67.13,Notstressed
-65.26,Notstressed
-62.68,Notstressed
-60.19,Notstressed
-58.96,Notstressed
-60.09,Notstressed
-63.98,Notstressed
-69.99,Notstressed
-76.37,Notstressed
-80.74,Notstressed
-80.77,Notstressed
-75,Notstressed
-63.27,Notstressed
-46.64,Notstressed
-26.99,Notstressed
-6.33,Notstressed
13.68,Notstressed
32,Notstressed
48.05,Notstressed
61.6,Notstressed
72.54,Notstressed
80.82,Notstressed
86.52,Notstressed
89.92,Notstressed
91.45,Notstressed
91.64,Notstressed
91,Notstressed
89.9,Notstressed
88.55,Notstressed
86.94,Notstressed
85.02,Notstressed
82.74,Notstressed
80.24,Notstressed
77.79,Notstressed
75.68,Notstressed
74.09,Notstressed
72.88,Notstressed
71.68,Notstressed
69.97,Notstressed
67.34,Notstressed
63.64,Notstressed
59.03,Notstressed
53.91,Notstressed
48.76,Notstressed
43.96,Notstressed
39.67,Notstressed
35.74,Notstressed
31.8,Notstressed
27.35,Notstressed
21.93,Notstressed
15.37,Notstressed
7.86,Notstressed
-0.03,Notstressed
-7.61,Notstressed
-14.32,Notstressed
-19.97,Notstressed
-24.82,Notstressed
-29.54,Notstressed
-34.94,Notstressed
-41.79,Notstressed
-50.4,Notstressed
-60.47,Notstressed
-70.94,Notstressed
-80.02,Notstressed
-85.61,Notstressed
-85.84,Notstressed
-79.71,Notstressed
-67.49,Notstressed
-50.61,Notstressed
-31.23,Notstressed
-11.54,Notstressed
6.81,Notstressed
22.98,Notstressed
36.76,Notstressed
48.26,Notstressed
57.61,Notstressed
64.83,Notstressed
69.89,Notstressed
72.87,Notstressed
74.07,Notstressed
73.96,Notstressed
73.08,Notstressed
71.82,Notstressed
70.42,Notstressed
68.96,Notstressed
67.46,Notstressed
66,Notstressed
64.68,Notstressed
63.62,Notstressed
62.82,Notstressed
62.09,Notstressed
61.09,Notstressed
59.47,Notstressed
57,Notstressed
53.65,Notstressed
49.52,Notstressed
44.76,Notstressed
39.55,Notstressed
34.03,Notstressed
28.39,Notstressed
22.84,Notstressed
17.49,Notstressed
12.32,Notstressed
7.07,Notstressed
1.36,Notstressed
-5.14,Notstressed
-12.5,Notstressed
-20.42,Notstressed
-28.37,Notstressed
-35.71,Notstressed
-42.07,Notstressed
-47.39,Notstressed
-52.05,Notstressed
-56.75,Notstressed
-62.3,Notstressed
-69.38,Notstressed
-78.21,Notstressed
-88.3,Notstressed
-98.35,Notstressed
-106.41,Notstressed
-110.47,Notstressed
-109.02,Notstressed
-101.62,Notstressed
-89,Notstressed
-72.74,Notstressed
-54.79,Notstressed
-36.81,Notstressed
-19.93,Notstressed
-4.74,Notstressed
8.5,Notstressed
19.55,Notstressed
28.2,Notstressed
34.31,Notstressed
37.98,Notstressed
39.59,Notstressed
39.73,Notstressed
39.04,Notstressed
38.03,Notstressed
37,Notstressed
36.08,Notstressed
35.38,Notstressed
35.04,Notstressed
35.19,Notstressed
35.89,Notstressed
36.96,Notstressed
38.02,Notstressed
38.63,Notstressed
38.45,Notstressed
37.38,Notstressed
35.58,Notstressed
33.31,Notstressed
30.84,Notstressed
28.28,Notstressed
25.57,Notstressed
22.57,Notstressed
19.13,Notstressed
15.18,Notstressed
10.72,Notstressed
5.87,Notstressed
0.8,Notstressed
-4.26,Notstressed
-9.06,Notstressed
-13.45,Notstressed
-17.44,Notstressed
-21.28,Notstressed
-25.48,Notstressed
-30.61,Notstressed
-37.13,Notstressed
-45.04,Notstressed
-53.63,Notstressed
-61.49,Notstressed
-66.73,Notstressed
-67.55,Notstressed
-62.84,Notstressed
-52.64,Notstressed
-38.07,Notstressed
-21.02,Notstressed
-3.54,Notstressed
12.77,Notstressed
26.95,Notstressed
38.7,Notstressed
48.1,Notstressed
55.34,Notstressed
60.64,Notstressed
64.15,Notstressed
66.04,Notstressed
66.55,Notstressed
65.97,Notstressed
64.6,Notstressed
62.73,Notstressed
60.61,Notstressed
58.42,Notstressed
56.3,Notstressed
54.33,Notstressed
52.53,Notstressed
50.9,Notstressed
49.35,Notstressed
47.75,Notstressed
45.92,Notstressed
43.65,Notstressed
40.76,Notstressed
37.22,Notstressed
33.1,Notstressed
28.57,Notstressed
23.81,Notstressed
18.9,Notstressed
13.79,Notstressed
8.35,Notstressed
2.52,Notstressed
-3.66,Notstressed
-9.96,Notstressed
-16.15,Notstressed
-22.01,Notstressed
-27.43,Notstressed
-32.45,Notstressed
-37.24,Notstressed
-42.15,Notstressed
-47.62,Notstressed
-54.14,Notstressed
-61.94,Notstressed
-70.63,Notstressed
-79,Notstressed
-85.15,Notstressed
-87.02,Notstressed
-83.15,Notstressed
-73.23,Notstressed
-58.34,Notstressed
-40.52,Notstressed
-22.06,Notstressed
-4.79,Notstressed
10.3,Notstressed
22.97,Notstressed
33.4,Notstressed
41.85,Notstressed
48.48,Notstressed
53.31,Notstressed
56.34,Notstressed
57.75,Notstressed
57.77,Notstressed
56.79,Notstressed
55.19,Notstressed
53.32,Notstressed
51.47,Notstressed
49.79,Notstressed
48.36,Notstressed
47.15,Notstressed
46.05,Notstressed
44.91,Notstressed
43.54,Notstressed
41.8,Notstressed
39.62,Notstressed
37.05,Notstressed
34.13,Notstressed
30.91,Notstressed
27.36,Notstressed
23.34,Notstressed
18.72,Notstressed
13.45,Notstressed
7.58,Notstressed
1.33,Notstressed
-5.07,Notstressed
-11.41,Notstressed
-17.57,Notstressed
-23.55,Notstressed
-29.47,Notstressed
-35.55,Notstressed
-42.12,Notstressed
-49.49,Notstressed
-57.74,Notstressed
-66.45,Notstressed
-74.57,Notstressed
-80.45,Notstressed
-82.37,Notstressed
-79.08,Notstressed
-70.31,Notstressed
-56.95,Notstressed
-40.7,Notstressed
-23.5,Notstressed
-6.94,Notstressed
7.99,Notstressed
20.92,Notstressed
31.75,Notstressed
40.4,Notstressed
46.75,Notstressed
50.71,Notstressed
52.34,Notstressed
52.02,Notstressed
50.37,Notstressed
48.13,Notstressed
45.94,Notstressed
44.19,Notstressed
42.9,Notstressed
41.81,Notstressed
40.55,Notstressed
38.92,Notstressed
36.97,Notstressed
34.99,Notstressed
33.36,Notstressed
32.27,Notstressed
31.61,Notstressed
30.89,Notstressed
29.52,Notstressed
26.88,Notstressed
22.6,Notstressed
16.61,Notstressed
9.16,Notstressed
0.74,Notstressed
-8.02,Notstressed
-16.53,Notstressed
-24.4,Notstressed
-31.51,Notstressed
-38.13,Notstressed
-44.79,Notstressed
-52.13,Notstressed
-60.62,Notstressed
-70.25,Notstressed
-80.33,Notstressed
-89.38,Notstressed
-95.49,Notstressed
-96.82,Notstressed
-92.3,Notstressed
-81.99,Notstressed
-67.16,Notstressed
-49.8,Notstressed
-31.98,Notstressed
-15.23,Notstressed
-0.33,Notstressed
12.6,Notstressed
23.63,Notstressed
32.71,Notstressed
39.61,Notstressed
44.03,Notstressed
45.94,Notstressed
45.73,Notstressed
44.12,Notstressed
41.93,Notstressed
39.79,Notstressed
37.95,Notstressed
36.33,Notstressed
34.68,Notstressed
32.82,Notstressed
30.8,Notstressed
28.83,Notstressed
27.18,Notstressed
25.97,Notstressed
25.02,Notstressed
23.89,Notstressed
22.02,Notstressed
18.94,Notstressed
14.45,Notstressed
8.75,Notstressed
2.35,Notstressed
-4.1,Notstressed
-10.01,Notstressed
-15.12,Notstressed
-19.58,Notstressed
-23.91,Notstressed
-28.86,Notstressed
-35.1,Notstressed
-42.98,Notstressed
-52.16,Notstressed
-61.59,Notstressed
-69.58,Notstressed
-74.22,Notstressed
-73.99,Notstressed
-68.22,Notstressed
-57.36,Notstressed
-42.78,Notstressed
-26.39,Notstressed
-9.98,Notstressed
5.1,Notstressed
18.21,Notstressed
29.1,Notstressed
37.8,Notstressed
44.26,Notstressed
48.39,Notstressed
50.19,Notstressed
49.92,Notstressed
48.19,Notstressed
45.82,Notstressed
43.64,Notstressed
42.19,Notstressed
41.56,Notstressed
41.43,Notstressed
41.24,Notstressed
40.54,Notstressed
39.17,Notstressed
37.31,Notstressed
35.29,Notstressed
33.35,Notstressed
31.45,Notstressed
29.28,Notstressed
26.35,Notstressed
22.29,Notstressed
16.95,Notstressed
10.59,Notstressed
3.68,Notstressed
-3.19,Notstressed
-9.62,Notstressed
-15.45,Notstressed
-20.83,Notstressed
-26.21,Notstressed
-32.17,Notstressed
-39.31,Notstressed
-47.99,Notstressed
-58.09,Notstressed
-68.87,Notstressed
-78.86,Notstressed
-86.2,Notstressed
-89.11,Notstressed
-86.38,Notstressed
-77.86,Notstressed
-64.46,Notstressed
-47.89,Notstressed
-30.16,Notstressed
-12.97,Notstressed
2.58,Notstressed
16.04,Notstressed
27.41,Notstressed
36.8,Notstressed
44.25,Notstressed
49.69,Notstressed
53.05,Notstressed
54.42,Notstressed
54.18,Notstressed
52.95,Notstressed
51.36,Notstressed
49.95,Notstressed
48.91,Notstressed
48.17,Notstressed
47.48,Notstressed
46.6,Notstressed
45.42,Notstressed
43.96,Notstressed
42.33,Notstressed
40.59,Notstressed
38.69,Notstressed
36.44,Notstressed
33.55,Notstressed
29.69,Notstressed
24.62,Notstressed
18.28,Notstressed
10.96,Notstressed
3.14,Notstressed
-4.53,Notstressed
-11.52,Notstressed
-17.57,Notstressed
-22.79,Notstressed
-27.59,Notstressed
-32.5,Notstressed
-38.05,Notstressed
-44.63,Notstressed
-52.45,Notstressed
-61.39,Notstressed
-70.84,Notstressed
-79.62,Notstressed
-86.03,Notstressed
-88.32,Notstressed
-85.18,Notstressed
-76.3,Notstressed
-62.55,Notstressed
-45.68,Notstressed
-27.73,Notstressed
-10.46,Notstressed
5.1,Notstressed
18.56,Notstressed
29.97,Notstressed
39.39,Notstressed
46.81,Notstressed
52.08,Notstressed
55.15,Notstressed
56.2,Notstressed
55.65,Notstressed
54.12,Notstressed
52.17,Notstressed
50.27,Notstressed
48.66,Notstressed
47.39,Notstressed
46.44,Notstressed
45.72,Notstressed
45.11,Notstressed
44.48,Notstressed
43.71,Notstressed
42.64,Notstressed
41.14,Notstressed
39.16,Notstressed
36.66,Notstressed
33.64,Notstressed
30.09,Notstressed
26.02,Notstressed
21.38,Notstressed
16.2,Notstressed
10.53,Notstressed
4.5,Notstressed
-1.72,Notstressed
-7.89,Notstressed
-13.83,Notstressed
-19.49,Notstressed
-24.94,Notstressed
-30.52,Notstressed
-36.69,Notstressed
-43.93,Notstressed
-52.46,Notstressed
-61.94,Notstressed
-71.29,Notstressed
-78.82,Notstressed
-82.65,Notstressed
-81.3,Notstressed
-74.21,Notstressed
-61.99,Notstressed
-46.21,Notstressed
-28.85,Notstressed
-11.76,Notstressed
3.78,Notstressed
17.15,Notstressed
28.12,Notstressed
36.7,Notstressed
42.92,Notstressed
46.88,Notstressed
48.8,Notstressed
49.02,Notstressed
48.09,Notstressed
46.55,Notstressed
44.84,Notstressed
43.2,Notstressed
41.65,Notstressed
40.05,Notstressed
38.25,Notstressed
36.25,Notstressed
34.19,Notstressed
32.37,Notstressed
30.98,Notstressed
30.04,Notstressed
29.22,Notstressed
27.96,Notstressed
25.7,Notstressed
22.05,Notstressed
17.01,Notstressed
10.93,Notstressed
4.42,Notstressed
-1.94,Notstressed
-7.74,Notstressed
-12.92,Notstressed
-17.67,Notstressed
-22.43,Notstressed
-27.69,Notstressed
-33.94,Notstressed
-41.46,Notstressed
-50.18,Notstressed
-59.54,Notstressed
-68.37,Notstressed
-75.12,Notstressed
-78.14,Notstressed
-76.19,Notstressed
-68.85,Notstressed
-56.74,Notstressed
-41.3,Notstressed
-24.46,Notstressed
-8,Notstressed
6.71,Notstressed
18.99,Notstressed
28.57,Notstressed
35.49,Notstressed
39.86,Notstressed
41.85,Notstressed
41.79,Notstressed
40.15,Notstressed
37.53,Notstressed
34.59,Notstressed
31.79,Notstressed
29.36,Notstressed
27.3,Notstressed
25.53,Notstressed
23.97,Notstressed
22.65,Notstressed
21.54,Notstressed
20.56,Notstressed
19.43,Notstressed
17.75,Notstressed
15.14,Notstressed
11.42,Notstressed
6.65,Notstressed
1.14,Notstressed
